,listing,location,price,bedroom_num,bathroom_num,floor_area,longitude,latitude,city
0,"1-br apartment unit (45 sqm) 1 t&b with pantry near nagtahan, manila @ p10k mo.","sampaloc, manila",10000.0,1.0,1.0,45.0,120.996236,14.61103,manila
1,"studio condo for rent in vista gl taft located at taft avenue, front of pgh","ermita, manila",18000.0,1.0,1.0,21.0,120.9825154,14.5860743,manila
2,80 sqm room for rent in manila - fmrr realty & devt. corp.,manila,45000.0,1.0,1.0,80.0,121.0560385,14.5962746,manila
3,"for rent 2-bedroom apartment near ust in sampaloc, manila city","sampaloc, manila",12500.0,2.0,1.0,40.0,120.996236,14.61103,manila
4,"1 bedroom apartment unit for rent at san andres street ,malate, manila city","malate, manila",8500.0,1.0,1.0,18.0,120.991585,14.570199,manila
5,aurora place dormitory for rent in agoncillo st. malate manila,"malate, manila",7000.0,1.0,1.0,12.0,120.991585,14.570199,manila
6,apartment for rent (available on 15-oct-20),"santa cruz, manila",7500.0,2.0,1.0,95.0,120.984764,14.617888,manila
7,"apartment for rent 630 h. ventura st., brgy. 547, sampaloc, manila","sampaloc, manila",7500.0,2.0,1.0,40.0,121.0560385,14.5962746,manila
8,"1 br apartment for rent in manila | near grocery, hospital, etc","santa ana, manila",13000.0,1.0,1.0,36.0,121.0560385,14.5962746,manila
9,"cozy and spacious 2 level apartment for rent  located in pandacan, manila","pandacan, manila",12000.0,2.0,1.0,50.0,121.0032543,14.5894572,manila
10,apartment/room for rent (w/ own restroom & air condition),"quiapo, manila",7500.0,1.0,1.0,12.0,120.983,14.6,manila
11,2 br apartment near ust manila for rent,"sampaloc, manila",18000.0,2.0,1.0,55.0,120.996236,14.61103,manila
12,"room for rent near sm san lazaro and ust, santa cruz, manila","santa cruz, manila",4500.0,1.0,1.0,25.0,120.984764,14.617888,manila
13,newly painted apartment for rent sampaloc manila lacson espana dapitan ust,"sampaloc, manila",8000.0,1.0,1.0,30.0,120.99197319339,14.615143340286,manila
14,"2 bedroom apartment for rent in santa ana, manila, metro manila","santa ana, manila",16000.0,2.0,1.0,65.0,121.0135541,14.5822048,manila
15,3 bedroom apartment with garage in fabie subd.,"paco, manila",30000.0,3.0,3.0,150.0,121.0560385,14.5962746,manila
16,"for rent unfurnished 4 door apartment in sta. mesa, manila city","santa mesa, manila",18800.0,2.0,1.0,54.0,121.017867,14.5971795,manila
17,2br 1br studio for rent sta ana manila with parking,"santa ana, manila",14500.0,2.0,1.0,40.0,121.01461,14.5798,manila
18,"apartment studio type bedroom for rent in (san andres bukid, manila city)","san andres, manila",9500.0,1.0,1.0,18.0,121.00320971124,14.568572163512,manila
19,dormitory for rent at taft avenue with lounge and wi-fi,"malate, manila",5000.0,1.0,1.0,21.0,121.0560385,14.5962746,manila
20,"room for rent in santa ana (sta. ana) manila, 1 ride to makati, taft, kalentong","santa ana, manila",2900.0,1.0,1.0,8.0,121.0135541,14.5822048,manila
21,apartment for rent (avail anytime) in 2866 e aurora blvd sta cruz manila,"santa cruz, manila",8000.0,2.0,1.0,95.0,121.0560385,14.5962746,manila
22,1br apartment for rent sampaloc manila dapitan ust maceda,"sampaloc, manila",9500.0,1.0,1.0,30.0,120.99308035493,14.617481099734,manila
23,1 br. apartment for rent near st. scho and dlsu,"malate, manila",10500.0,1.0,1.0,30.0,120.991585,14.570199,manila
24,condo bedspace for rent at grand residences espana 2 across ust,"sampaloc, manila",7500.0,1.0,1.0,25.0,120.996236,14.61103,manila
25,bedspace for rent at robinson’s place residences,"malate, manila",8000.0,1.0,1.0,39.0,120.9833799,14.5785245,manila
26,avida luxury bed space — for females only,"santa cruz, manila",7000.0,2.0,1.0,50.0,120.984764,14.617888,manila
27,"studio type apartment for rent in pandacan, manila, metro manila","pandacan, manila",9000.0,1.0,1.0,25.0,121.0032543,14.5894572,manila
28,"studio type for rent in sampaloc, manila","santa mesa, manila",10000.0,1.0,1.0,30.0,121.017867,14.5971795,manila
29,great clean and safe studio near dlsu,"malate, manila",13000.0,1.0,1.0,24.0,120.9934,14.5687,manila
30,studio unit in san andres bukid,"san andres, manila",7800.0,1.0,1.0,15.0,121.0002916,14.5723959,manila
31,one bedroom for rent in taft vito cruz,"malate, manila",10500.0,1.0,1.0,30.0,120.991585,14.570199,manila
32,3bedroom apartment with 1bathroom and front and back balcony,"tondo, manila",25000.0,3.0,1.0,110.0,120.97711292283,14.614976028942,manila
33,1 bedroom for rent near vito cruz taft,manila,10500.0,1.0,1.0,30.0,121.0560385,14.5962746,manila
34,"2 bedroom, 2 t&b apartment for rent in sampaloc, manila city","sampaloc, manila",19000.0,2.0,2.0,63.0,121.0560385,14.5962746,manila
