,listing,location,price,bedroom_num,bathroom_num,floor_area,longitude,latitude,city
0,1 bedroom condo unit for sale near dlsu|manila|the grand towers by moldex realty,"malate, manila",4725000.0,1.0,1.0,31.0,120.991585,14.570199,manila
1,"studio w/ balcony for sale | c. m. recto ave, manila | vista recto by vista land","quiapo, manila",6216696.0,1.0,1.0,26.0,120.983,14.6,manila
2,"rfo studio condo unit beside dlsu taft|taft ave., manila| property for sale ph","taft, manila",3500000.0,1.0,1.0,18.0,120.9947601,14.5629444,manila
3,"rfo studio condo unit fronting ust|espana, manila | property for sale ph","sampaloc, manila",5366800.0,1.0,1.0,23.0,120.996236,14.61103,manila
4,2 bedroom condo unit for sale near dlsu|manila|the grand towers by moldex realty,"malate, manila",5252679.0,2.0,2.0,35.0,120.99441,14.56168437,manila
5,"suntrust solana, 2-bedroom unit for sale in ermita, manila","ermita, manila",4900000.0,2.0,1.0,39.0,120.985482,14.590526,manila
6,"studio condo unit near dlsu taft|vito cruz, manila|property for sale ph","malate, manila",3129000.0,1.0,1.0,20.0,120.99441,14.56168437,manila
7,"3-bedroom condo unit for sale in suntrust solana, ermita, manila","ermita, manila",7500000.0,3.0,2.0,52.0,120.985482,14.590526,manila
8,"rfo studio unit 2315a for sale in grand riviera suites, roxas boulevard, manila","roxas boulevard, manila",4363000.0,1.0,1.0,20.0,120.9895887,14.551476,manila
9,"cityland one taft residences - studio unit for sale in malate, manila","malate, manila",2226263.0,1.0,1.0,19.0,120.991585,14.570199,manila
10,"condominium with 3 bedroom for sale in suntrust solana, ermita, manila","ermita, manila",7500000.0,3.0,2.0,52.0,120.985482,14.590526,manila
11,"suntrust solana - 3-bedroom unit for sale in ermita, manila","ermita, manila",7500000.0,3.0,2.0,52.0,120.985482,14.590526,manila
12,"rfo 1-bedroom unit 4611 for sale in grand riviera suites, roxas boulevard manila","roxas boulevard, manila",6963000.0,1.0,1.0,31.0,120.9895887,14.551476,manila
