,city,school_name,sector,school_subclass,curricular_class
0,san juan,pedro cruz elementary,public,deped managed,purely es
1,san juan,salapan es,public,deped managed,purely es
2,san juan,san juan es,public,deped managed,purely es
3,san juan,san perfecto es,public,deped managed,purely es
4,san juan,san juan national high school,public,deped managed,jhs with shs
5,san juan,"punlaan school, inc.",private,sectarian,jhs with shs
6,san juan,doro deus integrated school,private,sectarian,purely shs
7,san juan,immaculate conception academy,private,sectarian,all offering (k to 12)
8,san juan,"o.b. montessori center, inc.",private,non-sectarian,all offering (k to 12)
9,san juan,xavier school,private,sectarian,all offering (k to 12)
10,san juan,dominican college,private,sectarian,all offering (k to 12)
11,san juan,st. john the baptist catholic school of san juan inc.,private,sectarian,all offering (k to 12)
12,san juan,holy light integrated catholic school,private,non-sectarian,purely es
13,san juan,"montessori de san juan, inc.",private,non-sectarian,all offering (k to 12)
14,san juan,philippine chen kuang high school,private,non-sectarian,all offering (k to 12)
15,san juan,st. john's academy,private,non-sectarian,all offering (k to 12)
16,san juan,"tabernacle of faith christian academy, inc.",private,non-sectarian,all offering (k to 12)
17,san juan,resalest educational center,private,non-sectarian,jhs with shs
18,san juan,mya house of achievers learning center inc.,private,non-sectarian,purely es
19,san juan,the reading house literacy center inc.,private,non-sectarian,purely es
20,san juan,a pi square kinder school inc.,private,non-sectarian,purely es
21,san juan,fountain international school,private,non-sectarian,purely es
22,san juan,"morning bells learning center, inc.",private,sectarian,purely es
23,san juan,"milestone early child development center, inc",private,non-sectarian,purely es
24,san juan,fountain international school -santolan campus,private,non-sectarian,jhs with shs
25,san juan,"kids world integrated school, inc.",private,non-sectarian,purely es
26,san juan,"door of hope christian school, inc.",private,non-sectarian,purely es
27,san juan,"kinder explorers playschool, inc.",private,non-sectarian,purely es
28,san juan,"vibrance learning academy, inc.",private,non-sectarian,es and jhs (k to 10)
29,san juan,kabayanan es,public,deped managed,purely es
30,san juan,nicanor c. ibuna es,public,deped managed,purely es
31,san juan,pinaglabanan es,public,deped managed,purely es
32,san juan,sta. lucia es,public,deped managed,purely es
33,san juan,san juan city science high school,public,deped managed,purely jhs
34,san juan,san juan city academic senior high school,public,deped managed,purely shs
35,san juan,san juan city technical-vocational and livelihood -senior high school,public,deped managed,purely shs
36,san juan,"community of learners foundation, inc.",private,non-sectarian,all offering (k to 12)
37,san juan,"aquinas school, inc.",private,sectarian,all offering (k to 12)
38,san juan,"the abba's orchard school, inc.",private,non-sectarian,purely es
39,san juan,apples and berries orchard learning preparatory center,private,non-sectarian,purely es
40,san juan,cambridge child development centre,private,non-sectarian,purely es
78,manila,a. c. herrera elementary school,public,deped managed,purely es
79,manila,barrio obrero elementary school,public,deped managed,purely es
80,manila,manila high school,public,deped managed,jhs with shs
81,manila,"abe international college of business & economics of manila, inc.",private,non-sectarian,purely shs
82,manila,"ama computer college - sta. mesa, inc.",private,non-sectarian,purely shs
83,manila,"ama computer learning center of northbay, inc.",private,non-sectarian,purely shs
84,manila,"centro escolar integrated school, inc.",private,non-sectarian,purely shs
85,manila,emilio aguinaldo college,private,non-sectarian,purely shs
86,manila,"feu high school, inc.",private,sectarian,purely shs
87,manila,"feati university, inc.",private,sectarian,jhs with shs
88,manila,informatics college-manila,private,non-sectarian,purely shs
89,manila,lyceum of the philippines university-manila,private,sectarian,purely shs
90,manila,"malayan education system, inc.",private,non-sectarian,purely shs
91,manila,mary chiles college,private,non-sectarian,purely shs
92,manila,"metropolitan medical center college of arts, science and technology, inc.",private,non-sectarian,purely shs
93,manila,"philippine college of health sciences, inc.",private,non-sectarian,purely shs
94,manila,philippine school of business administration,private,sectarian,purely shs
95,manila,san beda college,private,sectarian,purely shs
96,manila,st. paul university manila,private,sectarian,purely shs
97,manila,sti college - recto,private,non-sectarian,purely shs
98,manila,sti college - taft,private,non-sectarian,purely shs
99,manila,makati science technological institute of the philippines,private,non-sectarian,all offering (k to 12)
100,manila,technological institute of the philippines,private,non-sectarian,purely shs
101,manila,access computer and technical college-manila campus,private,non-sectarian,purely shs
102,manila,"aclc college of manila, inc.",private,non-sectarian,purely shs
103,manila,bethel lutheran school,private,non-sectarian,purely es
104,manila,immaculate conception academy of manila,private,sectarian,all offering (k to 12)
105,manila,st. joseph school (tondo),private,sectarian,all offering (k to 12)
106,manila,san rafael parochial school,private,non-sectarian,all offering (k to 12)
107,manila,westminster high school,private,non-sectarian,all offering (k to 12)
108,manila,"manila cathedral college, inc.",private,sectarian,all offering (k to 12)
109,manila,st. paul school - tondo,private,non-sectarian,purely es
110,manila,holy child catholic school,private,sectarian,all offering (k to 12)
111,manila,west manila christian school,private,non-sectarian,all offering (k to 12)
112,manila,chiang kai shek college,private,non-sectarian,all offering (k to 12)
113,manila,hope christian high school,private,non-sectarian,all offering (k to 12)
114,manila,philippine cultural college,private,non-sectarian,all offering (k to 12)
115,manila,"st. mary's academy manila, inc.",private,sectarian,all offering (k to 12)
116,manila,uno high school,private,non-sectarian,all offering (k to 12)
117,manila,arellano university(juan sumulong high school),private,non-sectarian,all offering (k to 12)
118,manila,"holy heart christian academy, inc.",private,non-sectarian,all offering (k to 12)
119,manila,la consolacion college manila,private,non-sectarian,all offering (k to 12)
