,listing,location,price,bedroom_num,bathroom_num,floor_area,land_size,longitude,latitude
0,"2 Bedrooms Apartment for Rent in Plainview, Mandaluyong City","Plainview, Mandaluyong","20,000",2,1,,,121.034826,14.573172
1,"Studio Apartment for Rent in Brgy. Plainview, Mandaluyong City","Plainview, Mandaluyong","10,000",1,1,22,,121.034826,14.573172
2,Studio Type Apartment BONI Avenue,"Plainview, Mandaluyong","7,700",1,1,14,,121.033201,14.576774
3,1 Bedroom Apartment Plainview Mandaluyong,"Plainview, Mandaluyong","11,000",1,1,,,121.033201,14.576774
4,"2 Bedroom for rent at Plainview, Mandaluyong","Plainview, Mandaluyong","23,000",2,1,50,,121.033201,14.576774
5,"Studio Apartment for Rent in Plainview, Mandaluyong","Plainview, Mandaluyong","9,000",1,1,24,,121.033201,14.576774
6,For Rent 2 Bedroom Unit Santiago Residences Mandaluyong,"Mabini-J. Rizal, Mandaluyong","11,500",2,,,,121.02242,14.58844
7,"Room for Rent near Shangrila, Megamall, ADB and Ortigas Area","Highway Hills, Mandaluyong","9,500",1,1,14,,121.052143,14.578255
8,room in Mandaluyong near to city hall,"Hulo, Mandaluyong","3,000",1,1,20,,121.0363943,14.5820678
9,Bedspace for rent in fully furnished unit available in Mandaluyong,"Highway Hills, Mandaluyong","3,999",54,54,,,121.04800413382,14.579709244819
10,"Studio type Apartment for Rent in Mandaluyong City, Metro Manila",Mandaluyong,"10,000",1,1,20,,121.0363943,14.5820678
11,For Rent Condo Unit in Mandaluyong 2 Bedrooms,"Barangka Ilaya, Mandaluyong","30,000",2,2,88,,121.04641,14.571338
12,Hulo Bliss 38 sqm Apartment ( 10k) near Makati,"Hulo, Mandaluyong","10,000",1,1,38,,121.031359,14.571604
13,Room for rent (For Ladies ONLY) in Mauway mandaluyong,"Mauway, Mandaluyong","5,000",1,1,,,121.043543,14.582103
14,"Studio Unit For Rent at  Brgy. Plainview, Mandaluyong City","Plainview, Mandaluyong","7,000",1,1,20,,121.033201,14.576774
15,Apartment for rent,"Old Zañiga, Mandaluyong","10,000",1,1,40,,121.025625,14.581496
16,Condo sharing (Male) in Gateway Garden Heights for rent,"Barangka Ilaya, Mandaluyong",,1,1,38,,121.0487702,14.5706437
17,"New Unit - Female Condo Sharing at Zitan Condominium, Mandaluyong City","Highway Hills, Mandaluyong","5,000",1,1,25,,121.0517084,14.5805152
18,Fully Furnished Room (Detached) 2nd Floor with Private Bathroom near Boni Ave.,"Plainview, Mandaluyong","8,900",1,1,10,,121.033201,14.576774
19,Mandaluyong Inn Rooms for Lease near Makati - Mandaluyong Bridge,Mandaluyong,"8,500",19,,,,121.0363943,14.5820678
20,Cityland Pioneer Condo Sharing/Bedspace for Female For Rent in Mandaluyong,"Highway Hills, Mandaluyong","5,300",3,2,109,,121.0539876,14.57182511
21,Female Zitan Condo Sharing,"Highway Hills, Mandaluyong","5,900",1,1,38,,121.052143,14.578255
22,2 Bedroom with 1 car parking in Mandaluyong,"New Zañiga, Mandaluyong","25,000",2,2,49,,121.029926,14.584746
23,Studio Near Shaw and Ortigas Center for Rent (O_BCV_MandNlft) in Mandaluyong,"Highway Hills, Mandaluyong","11,000",1,1,18,,121.052143,14.578255
24,1 Bedroom Apartment For Rent in Mandaluyong,"Old Zañiga, Mandaluyong","13,000",1,1,43,,121.025625,14.581496
25,Apartment for Rent in Mandaluyong,"Highway Hills, Mandaluyong","12,500",1,1,30,,121.052143,14.578255
26,"Spacious Apartment For Rent in Mandaluyong City, Metro Manila","Plainview, Mandaluyong","18,000",2,2,120,,121.033201,14.576774
27,Brand New Studio Unit for Rent at P10500,"Plainview, Mandaluyong","10,500",1,1,25,,121.033201,14.576774
28,Studio for rent in Mandaluyong City,"Plainview, Mandaluyong","17,000",1,1,25,,121.0363943,14.5820678
29,Brand New Modern Residential Building for rent in Mandaluyong,"Plainview, Mandaluyong","1,200,000",42,43,1420,,121.033201,14.576774
30,2 bedroom with Balcony in Wack Wack Apartments for rent,"Wack-Wack Greenhills, Mandaluyong","60,000",2,3,145,,121.053333,14.592173
31,Brand New Studio For Rent in the main road of Mandaluyong City,"Highway Hills, Mandaluyong","14,000",1,1,23,,121.05050404058,14.579093993431
32,Semi-Furnished Studio for Rent Mandaluyong City Near MRT Shaw (O_BCV_MandLFT01),"Highway Hills, Mandaluyong","11,500",1,1,18,,121.052143,14.578255
33,3700 condo share/bedspace working male,"Plainview, Mandaluyong","3,700",2,1,50,,121.033201,14.576774
34,Bed Space Condo For Male - Urban Deca Tower Shaw,"Highway Hills, Mandaluyong","5,500",1,1,,,121.05036,14.57794
35,Condo Sharing for Females only,"Highway Hills, Mandaluyong","4,500",2,2,57,,121.0476191,14.5786592
36,1br - apartment for ladies only,"Highway Hills, Mandaluyong","10,000",1,1,,,121.052143,14.578255
37,"Bedspace for Rent in Flair Tower, Highway Hills, Mandaluyong","Highway Hills, Mandaluyong","4,000",1,1,26,,121.052143,14.578255
38,Studio at F Residences in the heart of Mandaluyong City For Rent,"Highway Hills, Mandaluyong","13,000",1,1,24,,121.052143,14.578255
39,"For Rent Condo Sharing in Sunshine 100 City Plaza, Mandaluyong","Buayang Bato, Mandaluyong",,1,1,20,,121.0490986,14.5705226
40,One Bedroom Apartment for Rent in Mandaluyong (near EDSA Shangri-la and Shaw),"Highway Hills, Mandaluyong","14,000",1,1,30,,121.052143,14.578255
41,For Rent Semi-Furnished Studio in Highway Hills Mandaluyong (near Ortigas),"Highway Hills, Mandaluyong","11,500",1,1,22,,121.0507828526,14.579667713789
42,Barangka Ilaya Mandaluyong Staff-House Near Edsa And Boni Avenue 21-Rooms,"Barangka Ilaya, Mandaluyong","450,000",21,21,950,,121.04641,14.571338
43,2BR Condo Share Bedspace for Females in SM Light Residences,"Barangka Ilaya, Mandaluyong","6,500",2,1,43,,121.04641,14.571338
44,condo sharing bed space ortigas mandaluyong  boni shaw pioneer,"Wack-Wack Greenhills, Mandaluyong","5,500",2,2,80,,121.053333,14.592173
45,"Bedspace For Male in Malamig, Mandaluyong City","Malamig, Mandaluyong","2,500",1,1,,,121.04426,14.574886
