,listing,location,price,bedroom_num,bathroom_num,floor_area,land_size,longitude,latitude
0,"1-BR Apartment Unit (45 sqm) 1 T&B with Pantry near Nagtahan, Manila @ P10K mo.","Sampaloc, Manila","10,000",1,1,45,,120.996236,14.61103
1,6 Room Apartment Unit for rent in Santa Cruz Manila,"Santa Cruz, Manila","25,000",6,,200,,120.984764,14.617888
2,"Studio Condo for Rent in Vista GL Taft Located at Taft Avenue, Front of PGH","Ermita, Manila","18,000",1,1,21,,120.9825154,14.5860743
3,80 sqm Room for Rent in Manila - FMRR Realty & Devt. Corp.,Manila,"45,000",1,1,80,,121.0560385,14.5962746
4,"For Rent 2-Bedroom Apartment near UST in Sampaloc, Manila City","Sampaloc, Manila","12,500",2,1,40,,120.996236,14.61103
5,"1 Bedroom Apartment unit for rent at San Andres Street ,Malate, Manila City","Malate, Manila","8,500",1,1,18,,120.991585,14.570199
6,"Apartment For Rent 4 bedroom with parking Sta. Cruz, Manila","Santa Cruz, Manila","13,999",4,1,70,,120.984764,14.617888
7,Aurora Place Dormitory For Rent in Agoncillo St. Malate Manila,"Malate, Manila","7,000",1,1,12,,120.991585,14.570199
8,apartment for rent (available on 15-oct-20),"Santa Cruz, Manila","7,500",2,1,95,,120.984764,14.617888
9,"Apartment for Rent 630 H. Ventura St., Brgy. 547, Sampaloc, Manila","Sampaloc, Manila","7,500",2,1,40,,121.0560385,14.5962746
10,"1 BR Apartment For Rent in Manila | Near Grocery, Hospital, etc","Santa Ana, Manila","13,000",1,1,36,,121.0560385,14.5962746
11,"Cozy and Spacious 2 Level Apartment for Rent  located in Pandacan, Manila","Pandacan, Manila","12,000",2,1,50,,121.0032543,14.5894572
12,"Whole Apartment Building Ermita, Manila, Metro Manila For Lease","Ermita, Manila","1,344,000",28,28,1200,,120.9825154,14.5860743
13,Apartment/Room for rent (w/ own restroom & air condition),"Quiapo, Manila","7,500",1,1,12,,120.983,14.6
14,2 br apartment near ust manila for rent,"Sampaloc, Manila","18,000",2,1,55,,120.996236,14.61103
15,"Studio type apartment for rent Sta. Mesa, Manila","Santa Mesa, Manila","9,000",1,1,,,121.17609,14.597632
16,"Room for rent near SM San Lazaro and UST, Santa Cruz, Manila","Santa Cruz, Manila","4,500",1,1,25,,120.984764,14.617888
17,Female Bed Space For Rent near Robinsons Malate,"Malate, Manila","4,800",1,,,,120.9842195,14.5995124
18,Newly Painted Apartment for Rent Sampaloc Manila Lacson Espana Dapitan UST,"Sampaloc, Manila","8,000",1,1,30,,120.99197319339,14.615143340286
19,Studio unit for rent,Manila,,1,1,20,,121.0560385,14.5962746
20,"Semi-Furnish 1 bedroom Apartment for Rent  in Sta. Ana, Manila","Santa Ana, Manila","12,500",1,1,18,,121.12,14.58
21,"2 bedroom Apartment for rent in Santa Ana, Manila, Metro Manila","Santa Ana, Manila","16,000",2,1,65,,121.0135541,14.5822048
22,1 Bedroom Apartment for Rent in Sampaloc Manila,"Sampaloc, Manila","15,000",1,1,,,121.0560385,14.5962746
23,3 bedroom apartment with garage in Fabie Subd.,"Paco, Manila","30,000",3,3,150,,121.0560385,14.5962746
24,"For Rent Unfurnished 4 Door Apartment in Sta. Mesa, Manila City","Santa Mesa, Manila","18,800",2,1,54,,121.017867,14.5971795
25,2br 1br studio for rent sta ana manila with parking,"Santa Ana, Manila","14,500",2,1,40,,121.01461,14.5798
26,"Apartment Studio Type Bedroom For Rent in (San Andres Bukid, Manila City)","San Andres, Manila","9,500",1,1,18,,121.00320971124,14.568572163512
27,"1 Bedroom Apartment unit - 3rd Floor for Rent at Sampaloc, Manila","Sampaloc, Manila",,1,1,62,,121.0560385,14.5962746
28,Dormitory for Rent at Taft Avenue with Lounge and Wi-fi,"Malate, Manila","5,000",1,1,21,,121.0560385,14.5962746
29,"Rooms For Rent in Anzures St., Sampaloc, Manila City, Metro Manila","Sampaloc, Manila","4,000",1,1,,,120.996236,14.61103
30,"Room for rent in Santa Ana (Sta. Ana) Manila, 1 ride to Makati, Taft, Kalentong","Santa Ana, Manila","2,900",1,1,8,,121.0135541,14.5822048
31,Apartment For Rent (avail anytime) in 2866 E Aurora Blvd Sta Cruz Manila,"Santa Cruz, Manila","8,000",2,1,95,,121.0560385,14.5962746
32,1BR Apartment for Rent Sampaloc Manila Dapitan UST Maceda,"Sampaloc, Manila","9,500",1,1,30,,120.99308035493,14.617481099734
33,Bedspace Room For rent La salle,"Malate, Manila","4,000",10,4,,,120.991585,14.570199
34,2-Bedroom Apartment for rent,"Sampaloc, Manila","18,000",2,1,,,120.996236,14.61103
35,1 BR. Apartment for Rent near St. Scho and DLSU,"Malate, Manila","10,500",1,1,30,,120.991585,14.570199
36,6-Rm or 12-Rm Staff Housing in Manila near LRT,"Santa Mesa, Manila","60,000",12,16,300,,121.017867,14.5971795
37,Condo Bedspace for Rent at Grand Residences Espana 2 across UST,"Sampaloc, Manila","7,500",1,1,25,,120.996236,14.61103
38,Bedspace for rent at Robinson’s Place Residences,"Malate, Manila","8,000",1,1,39,,120.9833799,14.5785245
39,Avida Luxury Bed Space — For Females ONLY,"Santa Cruz, Manila","7,000",2,1,50,,120.984764,14.617888
40,Rent Studio w/ 200mbps wifi near LRT Tayuman DOH San Lazaro Jose Reyes Hospital,"Santa Cruz, Manila",,1,1,11,,120.984764,14.617888
41,"Studio Type Apartment For Rent in Pandacan, Manila, Metro Manila","Pandacan, Manila","9,000",1,1,25,,121.0032543,14.5894572
42,"Studio Type for Rent in Sampaloc, Manila","Santa Mesa, Manila","10,000",1,1,30,,121.017867,14.5971795
43,Great Clean and Safe Studio near DLSU,"Malate, Manila","13,000",1,1,24,,120.9934,14.5687
44,Male Bedspace Makati Manila Area 1900 All in,Manila,"1,900",2,2,,,121.0560385,14.5962746
45,Studio Unit in San Andres Bukid,"San Andres, Manila","7,800",1,1,15,,121.0002916,14.5723959
46,One Bedroom for Rent in Taft Vito Cruz,"Malate, Manila","10,500",1,1,30,,120.991585,14.570199
47,2 BR apartment near UST,"Sampaloc, Manila","16,000",2,1,,,121.0560385,14.5962746
48,1 BEDROOM FOR RENT,"Santa Ana, Manila","10,500",1,1,30,,121.12,14.58
49,"apartment for lease in padre algue street, tondo manila","Tondo, Manila","16,000",2,1,45,,120.965967,14.620565
50,3Bedroom Apartment with 1Bathroom and Front and Back balcony,"Tondo, Manila","25,000",3,1,110,,120.97711292283,14.614976028942
51,Bed Space for Rent only 4800 per month in victoria de manila,"Malate, Manila","4,800",1,1,,,120.9883144,14.5750951
52,1 Bedroom For Rent near Vito Cruz Taft,Manila,"10,500",1,1,30,,121.0560385,14.5962746
53,2 Beds Capacity Room,"Santa Mesa, Manila","4,500",1,1,9,,121.17609,14.597632
54,19 regular rooms and 1 big room,"Sampaloc, Manila","12,000",20,22,,,120.996236,14.61103
55,"2 Bedroom, 2 T&B Apartment For Rent in Sampaloc, Manila City","Sampaloc, Manila","19,000",2,2,63,,121.0560385,14.5962746
56,"Room for Rent in Malate, Manila  near Taft (DLSU, St. Scho, PWU, PCU, Adamson)","Malate, Manila","5,500",1,1,12,,121.0560385,14.5962746
57,"Residential 5 Storey Bldg with Roof Deck for Lease in Manila, Metro Manila",Manila,"180,000",10,9,461,,121.0560385,14.5962746
58,Studio Type Apartment for Rent (Sampaloc. Near Espana Manila. UST),"Ermita, Manila","9,000",1,1,15,,120.9825154,14.5860743
59,"One Bedroom Apartment for Rent in Malate, Manila, Metro Manila","Malate, Manila","28,760",1,1,78,,120.991585,14.570199
60,Studio Type/ Dormitory For Rent at 505 Residences,"San Miguel, Manila","17,000",1,1,20,,120.994802,14.597008
61,Residential or Office space along Legarda Street and National Teachers College,"Quiapo, Manila","10,000",1,1,14,,120.983,14.6
62,Dormitory Rooms with 40 Beds,"Malate, Manila","180,000",3,4,180,,120.99234940221,14.574512760367
63,Room for Rent for reviewees and workingLadies Female only,"Sampaloc, Manila",,1,1,,,120.99905401758,14.610770098972
64,Studio type unit for rent in Vito Cruz Manila,"Santa Cruz, Manila","12,000",1,1,25,,121.0014,14.56843
65,Female Bed Space for Rent 4800 only near robinson malate,"Malate, Manila","4,800",1,1,,,120.9842195,14.5995124
