,listing,location,price,bedroom_num,bathroom_num,floor_area,land_size,longitude,latitude
0,Rent 2BR Apartment Gen Lim st in Greenhills SJ City at d back of Xavier School,"Greenhills, San Juan","18,000",2,1,100,,121.0468908,14.6011932
1,"Room For Rent in San Juan City, Metro Manila",San Juan,"3,500",1,1,,,121.2861642,14.6036614
2,Newly Built Studio Apartments available For Rent in San Juan,"Salapan, San Juan","10,000",1,1,30,,121.0239029,14.611378
3,(E) 2 flr apartment - rent - San Juan - free parking,"Little Baguio, San Juan","21,000",2,1,60,,121.0371886,14.6014254
4,"2 Storey Apartment For Rent at Little Baguio, San Juan City","Little Baguio, San Juan","20,000",2,1,52,,121.0371886,14.6014254
5,For Rent 3-BR Spacious Premier Apartment in San Juan near Xavier ICA Greenhills,"Little Baguio, San Juan","63,000",3,3,180,,121.0371886,14.6014254
6,2 bedroom + 1 master bedroom Apartment for rent in San Juan area,"Addition Hills, San Juan","35,000",3,3,117,,121.2861642,14.6036614
7,The Alvendia By Rockwell 3 Bedrooms For Rent in San Juan City,"Santa Lucia, San Juan","85,000",3,4,278,,121.0342285,14.5982881
8,San Juan Metro Manila Apartment Building For Rent,"Balong-Bato, San Juan","130,000",19,19,450,,121.0258632,14.6084757
9,Residential apartment unit For Lease in 299 P. Guevarra Bldg. in San Juan,"Maytunas, San Juan","55,000",2,2,100,,121.0342404,14.594375
10,Newly Built Affordable Apartment Unit,Tanay,"10,000",2,1,,,121.3480121,14.5692857
11,2 Bedroom Apartment for rent at San Roque,"San Roque, Teresa","4,750",2,1,,,121.209831,14.5522
12,Solo Room For Rent in Antipolo City,"Dalig, Antipolo","3,650",1,1,18,,121.195159,14.576725
13,Bedspace For Rent in Antipolo City,"Dalig, Antipolo","2,400",1,1,25,,121.195159,14.576725
14,"Couple Room Apartment For Rent Located in Antipolo City, Rizal","Dalig, Antipolo","6,300",1,1,20,,121.195159,14.576725
15,"Apartment for rent in Sapang Buho Rd. Milagros Subd. Brgy. Dalig, Antipolo City","Dalig, Antipolo","6,500",1,1,,,121.195159,14.576725
16,"Apartment for rent in Milagros Subd. Brgy. Dalig, Antipolo City","Dalig, Antipolo","6,500",1,1,,,121.195159,14.576725
17,"Apartment for rent Bombongan, Morong, Rizal","Bombongan, Morong","3,000",1,1,30,,121.215826,14.526881
18,"commercial/ residential space - tanay, rizal for rent","Tabing Ilog, Tanay","10,000",1,1,90,,121.291811,14.50056
19,"Studio type apartment for rent Sta. Mesa, Manila","Santa Mesa, Manila","9,000",1,1,,,121.17609,14.597632
20,2 Beds Capacity Room,"Santa Mesa, Manila","4,500",1,1,9,,121.17609,14.597632
21,"For Rent: RFO 1-Bedroom Apartment with Parking Space in Antipolo City, Rizal","Santa Cruz, Antipolo","10,000",1,1,32,,121.17485,14.5841
22,"For Rent: RFO 20 sqm Studio Type Apartment in Santa Cruz, Antipolo City, Rizal","Santa Cruz, Antipolo","7,500",1,1,20,,121.17485,14.5841
23,Apartment - Studio Type for Rent - Upper Antipolo,"San Roque, Antipolo","5,500",1,1,33,,121.176937,14.571435
24,Studio Condo Apartment,"Mambugan, Antipolo","8,500",1,1,,,121.157573,14.58843
25,Apartment For Rent in Taytay near Kaytikling KFC,"Dolores, Taytay","6,000",1,1,40,,121.148117,14.573461
26,"Newly Built Room for Rent in Montevista Heights Subd., Dolores, Taytay","Dolores, Taytay","4,000",1,1,,,121.148117,14.573461
27,Studio type apartment in Pinesville Subd. Brgy Dolores Taytay Rizal for rent,"Dolores, Taytay",,1,1,25,,121.148117,14.573461
28,Lady bed space one month deposit only.,"San Isidro, Angono","2,000",1,1,20,,121.155285,14.547696
29,Apartment For Rent near SM Taytay 2BR 2Floor 1Parking Slot Internet Fiber-Ready,"Dolores, Taytay","10,000",2,1,25,,121.14606742684,14.571287529423
0,"Swire Elan Suites studio - For Lease, Condotel","Greenhills, San Juan","25,000",1,1,30,,121.0514006,14.60374344
1,250sqm 4-bedroom penthouse condo unit in Greenhills San Juan For Lease/Rent,"Greenhills, San Juan","110,000",4,3,250,,121.0468908,14.6011932
2,"2 Bedroom 75sqm Condo unit for rent in Eisenhower, Greenhills, San Juan","Greenhills, San Juan","45,000",2,2,75,,121.0501237,14.60417699
3,Two- Bedroom at Greenhills Elan Hotel Modern for Rent,"Greenhills, San Juan","35,000",2,1,58,,121.0468908,14.6011932
4,"2-BR Unit w/ Tandem Parking at Chimes Greenhills, San Juan For Rent","Greenhills, San Juan","65,000",2,3,78,,121.2861642,14.6036614
5,"3 Bedroom Condo for rent in Greenhills, San Juan City","Greenhills, San Juan","51,500",3,3,171,,121.05399367172,14.605096794681
