,listing,location,price,bedroom_num,bathroom_num,floor_area,land_size,longitude,latitude
0,2 Bedroom Apartment in Block 20 lot 20 North Signal Village Taguig City,"Signal Village, Taguig","9,000",2,1,35,,121.057875,14.505033
1,Studio-type Room in Fort Bonifacio Taguig City For Rent,"Fort Bonifacio, Taguig","5,000",1,1,,,121.050318,14.540867
2,Condo Sharing BGC,"McKinley Hill, Taguig","4,089",2,2,50,,121.05126,14.54559
3,Apartment unit for rent Lawton Residences (Taguig) 10min from BGC & Airport,"Western Bicutan, Taguig","12,000",1,1,15,,121.036376,14.517219
4,Studio-Type Apartment for Rent with Wifi in  Brgy Palingon  Tipas Taguig City,"Palingon, Taguig","5,500",1,1,15,,121.086534,14.531854
5,Newly Built Apartments Near BGC and Acacia Estates,"San Miguel, Taguig","7,000",2,1,30,,121.0665,14.5167
6,For ren Apartment unit at Afpovai phase 3,"Western Bicutan, Taguig","15,000",2,1,40,,121.036376,14.517219
7,"Apartment for Rent PH1 Lot1 Blk2 AFP-EP Housing Village, Western Bicutan, Taguig","Pinagsama, Taguig","5,500",1,1,20,,121.0521,14.52655
8,Brand new 2 bedrooms apartments situated in lower bicutan taguig,"Lower Bicutan, Taguig","11,000",2,1,,,121.059314,14.490845
9,"For rent 2 Bedroom Apartment Across Puregold Tuktukan, Taguig","Tuktukan, Taguig","12,000",2,1,40,,121.071489,14.530826
10,"New one bedroom flat unit for rent at Pinagsama, Taguig City","Pinagsama, Taguig","1,300",1,1,25,,121.0632793,14.5139759
11,"2 Bedroom Apartment in Ususan, Taguig City, Metro Manila For Rent","Ususan, Taguig","10,000",2,1,30,,121.065172,14.531149
12,Condosharing condo sharing McKinley Hill BGC bonifacio heights condominium,"Fort Bonifacio, Taguig","4,500",1,1,35,,121.050318,14.540867
13,female bed space avida 34th bgc,"Fort Bonifacio, Taguig","12,000",2,1,36,,121.0632793,14.5139759
14,Room for Rent Near MCKinley BGC Market Market,"Pinagsama, Taguig","10,000",1,1,25,,121.0572202,14.53290621
15,Condo Sharing Bedspace Room For Rent Mckinley BGC Market Market Sm Aura Taguig,"Ususan, Taguig","5,700",3,2,62,,121.065172,14.531149
16,Taguig apartment with car parking space and internet for rent near bgc and arca,"Lower Bicutan, Taguig","16,000",2,1,42,,121.059314,14.490845
17,"Newly Renovated, 1 Bedroom Apartment For Rent in Taguig City","Ibayo-Tipas, Taguig","8,000",1,1,26,,1,14.57178
18,Fully furnished cottage house-style container van in BGC for rent,"Western Bicutan, Taguig","13,000",1,1,40,,121.036376,14.517219
19,Room for Rent Near C5 Road Taguig Area,"Pinagsama, Taguig","8,000",1,1,25,,121.0521,14.52655
20,Fully Furnished 1BR Apartment in Blue Sapphire Near Burgos Circle,"Fort Bonifacio, Taguig","35,000",1,1,49,,121.0443186539,14.55435375208
21,For Rent Two Bedroom Unfurnished Apartment - Taguig City near C5 and C6,"San Miguel, Taguig","15,000",2,1,45,,121.0665,14.5167
22,"Apartment for rent in taguig near bgc, near makati, near paranaque","Ususan, Taguig","18,000",2,1,36,,121.065172,14.531149
23,"Studio Type Apartment for Rent in Santa Ana, Taguig City, Metro Manila","Santa Ana, Taguig",,1,1,20,,121.076427,14.527596
24,"For Rent 3 Floor Apartment Building, at Fort Bonifacio,10mins from BGC, Taguig","Western Bicutan, Taguig",,6,6,450,,121.036376,14.517219
25,2 Bedrooms for rent!,"Maharlika Village, Taguig","25,000",2,1,100,,121.0553286,14.49814739
26,Apartment for Rent / House for Rent,"Pinagsama, Taguig","20,000",2,1,50,,121.0521,14.52655
27,2BR For Rent AFPOVAI Phase 5 near BGC and Airport,"Western Bicutan, Taguig","20,000",2,1,43,,121.036376,14.517219
28,bedspacer in Taguig City,"Bambang, Taguig","2,000","2,000",1,20,,121.06934,14.524033
29,Female Condo share in BGC,"Fort Bonifacio, Taguig","8,250",1,1,37,,121.05175566403,14.555177312469
30,"Modern Studio Unit available now !!! - Only Php14,500","Western Bicutan, Taguig","14,500",1,1,20,,121.036376,14.517219
31,"Php 2,500 Bedspace for Female -Taguig City (Water and Electricity Bill included)","Signal Village, Taguig","2,500",1,2,30,,121.057875,14.505033
32,Bed space for Female professional in Fort Bonifacio Mckinley Hills BGC Makati,"Fort Bonifacio, Taguig","5,000",2,1,43,,121.050318,14.540867
33,"2 Bedroom Apartment unit for rent in Maharlika Village, Taguig City","Maharlika Village, Taguig","18,000",2,2,60,,121.0553286,14.49814739
34,Studio Room for Rent Lower Bicutan,"Lower Bicutan, Taguig","6,000",1,1,24,,121.059314,14.490845
35,3 bedroom apartment in AFPOVAI Taguig near BGC,"Western Bicutan, Taguig","35,000",3,3,50,,121.036376,14.517219
36,Condo Sharing / Bedspace in McKinley - BGC Taguig,"Ususan, Taguig","5,700",3,2,,,121.065172,14.531149
37,"Room for Rent at Perpetual Village, Bagong Tanyag, Taguig City","Bagong Tanyag, Taguig","5,000",3,2,20,,121.0476509,14.47745004
38,For Rent Bedspace for Ladies in AFPOVAI Fort Bonifacio in Western Bicutan Taguig,"Western Bicutan, Taguig","2,000",5,4,190,,121.036376,14.517219
39,1BR Female Condo Sharing at Trion Towers BGC Taguig - Urgent,"Fort Bonifacio, Taguig","11,000",1,1,30,,121.050318,14.540867
40,Near Taguig 3 Bedreom Newly Refurbished,"Ususan, Taguig","30,000",3,2,50,,121.08,14.52899
41,Newly Renovated 2 Storey Apartment,"Pinagsama, Taguig","30,000",5,3,200,,121.0521,14.52655
42,Female Condo Sharing inside BGC (All in),"Fort Bonifacio, Taguig","7,300",1,1,32,,121.050318,14.540867
43,Lady Bedspace at Western Bicutan Taguig,"Western Bicutan, Taguig","1,500",10,2,527,,121.03529131744,14.511750188327
44,"Bedspace For Rent in Taguig with aircon, mattress and WIFI","Katuparan, Taguig","1,500",1,1,20,,121.05824,14.52012
45,female bed space in avida 34th,"Fort Bonifacio, Taguig","8,500",2,1,36,,121.0632793,14.5139759
