,listing,location,price,bedroom_num,bathroom_num,floor_area,land_size,longitude,latitude
0,"For Sale Studio unit at Mergent Residences, Poblacion, Makati","Poblacion, Makati","13,500,000",1,1,35,,121.032076,14.56568
1,"Studio with Balcony for Sale in SMDC Lush Residences, Makati City","San Antonio, Makati","6,800,000",1,1,22,,121.015315,14.5639
2,"M-R-3-1433-Acquired Property for Sale in Unit F, 23/F, Lotus Tower, Oriental Garden M...","Pio Del Pilar, Makati","3,630,000",,,33,,121.012006,14.5531
3,"M-R-3-1204- Foreclosed Property for Sale in Unit 12, 55/F, Gramercy Residences, Salam...","Poblacion, Makati","1,483,155",,,41,,121.032076,14.56568
4,"Ready For Occupancy, Excusive Condominium For Sale in Makati, Studio Type","Sen. Gil Puyat Avenue, Makati","6,586,000",1,1,26,,121.0183,14.56166
5,"Foreclosed Property for Sale in Unit H. 25Th Floor, A. Venue Residences (Tower1), Sal...","Poblacion, Makati","5,679,700",,,43,,121.032076,14.56568
6,"M-R-3-1323- Acquired Property for Sale in Unit KB 4707, 47/F, Knightsbridge Residence...","Poblacion, Makati","5,010,250",1,,28,,121.032076,14.56568
7,"M-R-3-1292- Acquired Property for Sale in Unit 31, 42/F, Gramercy Residences, Salaman...","Poblacion, Makati","6,078,600",1,,33,,121.032076,14.56568
8,Foreclosed Property for Sale in Unit 504 5Th Floor Isabelle Royale Hotel & Suite B.. ...,"Poblacion, Makati","1,980,000",,,18,,121.032076,14.56568
9,"Foreclosed Property for Sale in Unit 1022, 10Th Floor, The Oriental Place Condominium...","Pio Del Pilar, Makati","2,928,000",,,24,,121.012006,14.5531
10,"Foreclosed Property for Sale in Unit 615,6/F Cityland Pasong Tamo, Estacion St. Brgy....","Pio Del Pilar, Makati","5,647,200",,,70,,121.012006,14.5531
11,"M-C-2-47- Acquired Property for Sale in Unit AR-03, 21/F, Burgundy Corporate Tower, N...","San Lorenzo, Makati","3,620,000",1,,45,,121.019175,14.550759
12,"M-R-3-1447: Acquired Property  for Sale in Unit 2908, 29/F, Tower C, Jazz Residences,...","Bel-Air, Makati","4,926,600",,,27,,121.026342,14.563933
13,"1-Bedroom with Balcony for Sale in SMDC Air Residences, Makati City","San Antonio, Makati","6,800,000",1,1,26,,121.014567,14.562318
14,Vion Tower Makati by Megaworld Corporation Stand Ready for the Future,"Magallanes, Makati","11,466,370",1,1,50,,121.017778,14.534456
15,"M-R-3-1177- Acquired Property for Sale in Unit P, First Floor, Tower 1, Avida Towers ...","San Antonio, Makati","8,908,200",1,,63,,121.009139,14.563865
16,"Foreclosed Property for Sale in 8Th Flioor., Grand Soho Makati Condominium, No. 131 M...","Salcedo Village, Makati","5,921,000",,,41,,121.0206028,14.5596699
