listing,location,price,bedroom_num,bathroom_num,floor_area,type
4br luxury condo unit for sale at cornell parksuites in binondo manila | 173.50 sqm,"binondo, manila",23800000,4,4,173,condominium
"condominium with 3 bedroom for sale in suntrust solana, ermita, manila","ermita, manila",7500000,3,2,52,condominium
2 bedroom rent to own condo for sale in santa mesa manila,manila,7517000,2,2,49,condominium
"rfo 1-bedroom unit 4611 for sale in grand riviera suites, roxas boulevard manila","roxas boulevard, manila",6963000,1,1,31,condominium
"3-bedroom condo unit for sale in suntrust solana, ermita, manila","ermita, manila",7500000,3,2,52,condominium
"rfo studio unit 2315a for sale in grand riviera suites, roxas boulevard, manila","roxas boulevard, manila",4363000,1,1,20,condominium
"rfo 2-bedroom unit 1925 for sale in grand riviera suites, roxas boulevard manila","roxas boulevard, manila",18180400,2,2,64,condominium
"cityland one taft residences - studio unit for sale in malate, manila","malate, manila",2226263,1,1,19,condominium
"suntrust solana, 2-bedroom unit for sale in ermita, manila","ermita, manila",4900000,2,1,39,condominium
"suntrust solana - 3-bedroom unit for sale in ermita, manila","ermita, manila",7500000,3,2,52,condominium
"for sale 3 bedroom unit in suntrust ascentia at santa ana, manila","santa ana, manila",9516936,3,2,57,condominium
"rfo studio unit for sale in grand riviera suites, roxas boulevard, manila","roxas boulevard, manila",4049000,1,1,19,condominium
"studio luxury condo unit for sale at cornell parksuites in binondo, manila | 45 sqm","binondo, manila",6000000,1,1,45,condominium
"2-bedroom unit for sale in suntrust solana, ermita manila","ermita, manila",4900000,2,1,39,condominium
"cityland one taft residences, 2-bedroom unit for sale in malate, manila","malate, manila",6623819,2,2,56,condominium
3br luxury condo unit for sale at cornell parksuites in binondo manila | 131.50 sqm,"binondo, manila",18600000,3,4,131,condominium
victoria de malate studio type condominium for sale angel linao malate manila,"malate, manila",3626775,1,1,22,condominium
"cityland one taft residences, 1-bedroom unit for sale in malate, manila","malate, manila",3020930,1,1,29,condominium
"for sale studio unit in suntrust ascentia at santa ana, manila","santa ana, manila",5028452,1,1,29,condominium
2br luxury condo unit for sale at cornell parksuites in binondo manila | 91.40 sqm,"binondo, manila",14600000,2,3,91,condominium
"2-bedroom condo unit for sale in suntrust ascentia, santa ana, manila, metro manila","santa ana, manila",6522096,2,1,39,condominium
"for sale 2 bedroom unit in suntrust ascentia at santa ana, manila","santa ana, manila",6522096,2,1,39,condominium
"3-bedroom unit for sale in suntrust solana, ermita manila","ermita, manila",7500000,3,2,52,condominium
"3-bedroom condo unit for sale in suntrust ascentia, santa ana, manila, metro manila","santa ana, manila",9516936,3,2,57,condominium
2br luxury condo unit for sale at cornell parksuites in binondo manila | 90.70 sqm,"binondo, manila",12000000,2,3,90,condominium
3br luxury condo unit for sale at cornell parksuites in binondo manila | 138.70 sqm,"binondo, manila",21600000,3,4,138,condominium
4br luxury condo unit for sale at cornell parksuites in binondo manila | 174.50 sqm,"binondo, manila",28500000,4,4,174,condominium
"studio luxury condo unit for sale at cornell parksuites in binondo, manila | 53.20 sq","binondo, manila",8300000,1,1,53,condominium
"studio condo unit for sale in suntrust ascentia, santa ana, manila, metro manila","santa ana, manila",5028452,1,1,29,condominium
1 bedroom condo unit for sale near dlsu|manila|the grand towers by moldex realty,"malate, manila",4725000,1,1,31,condominium
rfo2 bedrooms condo in manila for sale-avida towers intima-near pgh-un taft lrt,"paco, manila",7000000,2,2,63,condominium
1 bedroom condo unit for sale | manila | grand riviera suites by moldex realty,"ermita, manila",6960000,1,1,31,condominium
brand new rfo 1 bedroom condominium unit at la nobleza terrazas ermita manila,"ermita, manila",4500000,1,1,27,condominium
condo studio unit for sale in manila near pgh-faura-kalaw-pedro gil lrt un ave,"paco, manila",4700000,1,1,23,condominium
"2 bedroom preselling condo in  malate m manila, near arellano college of law","malate, manila",7849000,2,1,52,condominium
for sale rfo 1 bedroom condominium unit brand new at ermita malate manila,"ermita, manila",4500000,1,1,27,condominium
"1 bedroom condominium unit for sale in ermita, manila","ermita, manila",7084832,1,2,58,condominium
for sale 2 bedroom condominium in santa mesa manila,"santa mesa, manila",7000000,2,1,46,condominium
"for sale brand new rfo 1 bedroom condo unit at ermita, manila","ermita, manila",4500000,1,1,27,condominium
studio unit for sale along taft avenue near dlsu kizuna heights by vista land,"malate, manila",6953991,1,1,30,condominium
"for sale studio unit at torre lorenzo malate in malate, manila","malate, manila",5571960,1,1,26,condominium
"for sale: 48.2 sqm 2-bedroom condo unit at covent garden in santa mesa, manila","santa mesa, manila",7517703,2,2,48,condominium
"1 bedroom in manila - peninsula garden midtown homes, paco manila","paco, manila",2700000,1,1,20,condominium
for sale brand new rfo 1 bedroom condominium unit at malate manila,"malate, manila",4500000,1,1,27,condominium
"studio w/ balcony for sale | c. m. recto ave, manila | vista recto by vista land","quiapo, manila",6216696,1,1,26,condominium
"for sale studio unit near la salle taft v. cruz, manila city","malate, manila",4622000,1,1,25,condominium
sta mesa condo covent garden 2 bedroom 48.2sqm 300k dp move in manila,"santa mesa, manila",7000000,2,2,48,condominium
"21 sqm studio condominium unit for sale in vista gl, taft, manila","ermita, manila",5712020,1,1,21,condominium
"one bedroom condominium unit for sale at 3 torre lorenzo, manila","malate, manila",7056400,1,1,32,condominium
"rfo studio condo unit beside dlsu taft|taft ave., manila| property for sale ph","taft, manila",3500000,1,1,18,condominium
"rfo 4-bedroom unit 47d2 for sale in 1322 roxas boulevard, manila | moldex realty","roxas boulevard, manila",48000000,4,6,237,condominium
university home lacson 21.95 sqm studio unit 1107 for sale in sampaloc manila,"sampaloc, manila",4818178,1,1,21,condominium
rfo 3 bedroom condo unit for sale along roxas blvd. | manila | moldex realty,"ermita, manila",23780000,3,2,84,condominium
rent to own rfo unit studio for sale manila condominium urban deca homes,"tondo, manila",1879165,1,1,22,condominium
2 bedroom condo unit for sale near dlsu|manila|the grand towers by moldex realty,"malate, manila",5252679,2,2,35,condominium
3 bedrooms penthouse with garden condominium for sale in manila,"santa cruz, manila",24000000,3,3,295,condominium
for sale condormitel u homes lacson self liquidating business investment manila,"sampaloc, manila",4800000,1,2,21,condominium
"for sale studio in sampaloc, manila at  university home lacson- 2701","sampaloc, manila",4946817,1,1,22,condominium
