,listing,location,price,bedroom_num,bathroom_num,floor_area,land_size,longitude,latitude
0,For Sale Pasig city hotel type condominium 1bedroom prime property,"Maybunga, Pasig","5,123,123",1,1,33,,121.0846396,14.57930873
1,"M-R-3-1405 - Acquired Property for Sale in Unit 404, 4/F, Tower B, Villa Sole Condomi...","Manggahan, Pasig","2,182,700",,,34,,121.093698,14.601887
2,"M-R-3-1345 - Acquired Property for Sale in Unit 522, 5/F, Building L, One Oasis Ortig...","Rosario, Pasig","2,389,600",1,,29,,121.089097,14.588464
3,"M-R-3-1149- Acquired Property for Sale in Unit 4109, GF, Building 4 (Surabaya), Bali ...","Santolan, Pasig","2,441,600",1,,31,,121.087967,14.613073
4,"M-R-3-891- Acquired Property for Sale in Unit A-1205, 12/F, East of Galleria, Topaz R...","Ortigas CBD, Pasig","4,048,000",1,,40,,121.059675,14.583771
5,"Hotel Type Condominium 1 Bedroom For Sale in Hampton Gardens, Pasig","Maybunga, Pasig","4,876,522",1,1,31,,121.0854566,14.5776808
6,"M-R-3-1302- Acquired Property for Sale in Unit 106, G/F, Palmdale Heights Condominium...","Pinagbuhatan, Pasig","2,122,680",1,,50,,121.0977,14.549724
7,"M-R-3-1442 - Acquired Property for Sale in Unit 506-A, 5/F, Istana Building, Mayfield...","Rosario, Pasig","2,407,500",,,47,,121.089097,14.588464
8,"Pre-Selling 1-Bedroom Unit in Acacia Escalades A, Pasig City","Manggahan, Pasig","3,600,000",1,1,,,121.093698,14.601887
9,"M-R-3-1416- Acquired Property for Sale in, Unit A-2209A, East of Galleria, Ruby and T...","Ortigas CBD, Pasig","4,061,000",1,,40,,121.059675,14.583771
10,"M-R-3-1388- Acquired Property for Sale in Unit 106, G/F, Danube Building, Riverfront ...","Caniogan, Pasig","4,615,000",,,64,,121.077937,14.571885
11,"Pre-Selling 2BR Unit (54.06 sqm) in Acacia Escalades A, Pasig City","Manggahan, Pasig","5,500,000",2,1,54,,121.093698,14.601887
12,"Pre-Selling 2-Bedroom Unit in Acacia Escalades B, Pasig City","Manggahan, Pasig","5,700,000",2,,,,121.093698,14.601887
13,"M-R-3-45 - Acquired Property for Sale in Unit 115, G/F, Seoul Building, Mayfield Park...","Rosario, Pasig","2,868,750",1,,58,,121.089097,14.588464
14,"M-R-3-1286- Acquired Property for Sale in Unit 103, G/F, Kaimito Building, Manggahan ...","Manggahan, Pasig","4,712,000",1,,62,,121.093698,14.601887
15,"M-R-3-1438-Acquired Property for Sale in Unit 316, 3/F, Samaya Building, East Raya Ga...","San Miguel, Pasig","4,062,500",,,55,,121.092265,14.567197
16,Empress at Capitol Commons - 1BR Condo Unit w/ Balcony for Sale in Pasig City | 56H,"Oranbo, Pasig","21,701,000",1,1,70,,121.06389,14.57529
17,"Residences at The Galleon (Pre-selling) - 1BR Condo Unit for Sale in Ortigas CBD, Pas...","Ortigas CBD, Pasig","25,261,000",1,1,70,,121.059675,14.583771
18,"Maven at Capitol Commons - 1BR Condo Unit for Sale in Ortigas CBD, Pasig | N-41G2","Ortigas CBD, Pasig","11,177,600",1,1,44,,121.065799,14.576617
19,"Residences at The Galleon (Pre-selling) - 2BR Condo Unit for Sale in Ortigas CBD, Pas...","Ortigas CBD, Pasig","38,944,000",2,2,114,,121.059675,14.583771
20,"Allegra Garden Place 1 Bedroom Condo unit for sale in Pasig, Available!","Bagong Ilog, Pasig","6,543,460",1,1,41,,121.060157,14.569208
21,"Residences at The Galleon (Pre-selling) - 2BR Condo Unit for Sale in Ortigas CBD, Pas...","Ortigas CBD, Pasig","38,924,000",2,2,114,,121.059675,14.583771
22,Empress at Capitol Commons - 2BR Condo Unit w/ Balcony for Sale in Pasig City | 55F,"Oranbo, Pasig","34,285,000",2,2,110,,121.06389,14.57529
23,"Pre-Selling 1-Bedroom Unit in Acacia Escalades A, Pasig City, 4.7M","Manggahan, Pasig","4,700,000",1,1,,,121.093698,14.601887
24,"Pre-Selling Studio Unit in Acacia Escalades A, Pasig City","Manggahan, Pasig","3,300,000",1,1,,,121.093698,14.601887
25,"Residences at The Galleon (Pre-selling) - 1BR Condo Unit for Sale in Ortigas CBD, Pas...","Ortigas CBD, Pasig","25,165,000",1,1,70,,121.05986,14.588084
26,"2BR Unit (37.9 sqm) for Sale in Suntrust Kirana, Pasig City","Pinagbuhatan, Pasig","5,008,864",2,1,37,,121.090095,14.555535
27,"Pre-Selling 2-Bedroom Unit in Acacia Escalades A, Pasig City, 6M","Manggahan, Pasig","6,000,000",2,,,,121.093698,14.601887
28,"Pre-Selling 1-Bedroom Unit in SYNC - S Tower, Pasig, Metro Manila","Bagong Ilog, Pasig","6,100,000",1,1,32,,121.06934,14.565391
29,"Maven at Capitol Commons - 2BR Condo Unit for Sale in Ortigas CBD, Pasig | N-64I","Ortigas CBD, Pasig","20,787,200",2,2,87,,121.065799,14.576617
