Intercept,bedroom_num,floor_area,bathroom_num,city_mandal,city_manila,city_pasig,city_quezon,city_san_ju,city_taguig,VAR1,listing,location,price,type,city
1,4,173,4,0,1,0,0,0,0,0,4br luxury condo unit for sale at cornell parksuites in binondo manila | 173.50 sqm,"binondo, manila",23800000,condominium,manila
1,3,52,2,0,1,0,0,0,0,1,"condominium with 3 bedroom for sale in suntrust solana, ermita, manila","ermita, manila",7500000,condominium,manila
1,2,49,2,0,1,0,0,0,0,2,2 bedroom rent to own condo for sale in santa mesa manila,manila,7517000,condominium,manila
1,1,31,1,0,1,0,0,0,0,5,"rfo 1-bedroom unit 4611 for sale in grand riviera suites, roxas boulevard manila","roxas boulevard, manila",6963000,condominium,manila
1,3,52,2,0,1,0,0,0,0,7,"3-bedroom condo unit for sale in suntrust solana, ermita, manila","ermita, manila",7500000,condominium,manila
1,1,20,1,0,1,0,0,0,0,8,"rfo studio unit 2315a for sale in grand riviera suites, roxas boulevard, manila","roxas boulevard, manila",4363000,condominium,manila
1,2,64,2,0,1,0,0,0,0,9,"rfo 2-bedroom unit 1925 for sale in grand riviera suites, roxas boulevard manila","roxas boulevard, manila",18180400,condominium,manila
1,1,19,1,0,1,0,0,0,0,12,"cityland one taft residences - studio unit for sale in malate, manila","malate, manila",2226263,condominium,manila
1,2,39,1,0,1,0,0,0,0,14,"suntrust solana, 2-bedroom unit for sale in ermita, manila","ermita, manila",4900000,condominium,manila
1,3,52,2,0,1,0,0,0,0,15,"suntrust solana - 3-bedroom unit for sale in ermita, manila","ermita, manila",7500000,condominium,manila
1,3,57,2,0,1,0,0,0,0,16,"for sale 3 bedroom unit in suntrust ascentia at santa ana, manila","santa ana, manila",9516936,condominium,manila
1,1,19,1,0,1,0,0,0,0,17,"rfo studio unit for sale in grand riviera suites, roxas boulevard, manila","roxas boulevard, manila",4049000,condominium,manila
1,1,45,1,0,1,0,0,0,0,18,"studio luxury condo unit for sale at cornell parksuites in binondo, manila | 45 sqm","binondo, manila",6000000,condominium,manila
1,2,39,1,0,1,0,0,0,0,19,"2-bedroom unit for sale in suntrust solana, ermita manila","ermita, manila",4900000,condominium,manila
1,2,56,2,0,1,0,0,0,0,21,"cityland one taft residences, 2-bedroom unit for sale in malate, manila","malate, manila",6623819,condominium,manila
1,3,131,4,0,1,0,0,0,0,23,3br luxury condo unit for sale at cornell parksuites in binondo manila | 131.50 sqm,"binondo, manila",18600000,condominium,manila
1,1,22,1,0,1,0,0,0,0,24,victoria de malate studio type condominium for sale angel linao malate manila,"malate, manila",3626775,condominium,manila
1,1,29,1,0,1,0,0,0,0,25,"cityland one taft residences, 1-bedroom unit for sale in malate, manila","malate, manila",3020930,condominium,manila
1,1,29,1,0,1,0,0,0,0,26,"for sale studio unit in suntrust ascentia at santa ana, manila","santa ana, manila",5028452,condominium,manila
