,listing,location,price,bedroom_num,bathroom_num,floor_area,land_size,longitude,latitude
0,"700K Discount in New Manila, Quezon City The Magnolia Residence, 1BR For Sale","New Manila, Quezon City","6,992,686",1,1,36,,121.0306,14.61633
1,"2BR Rent to Own Condo No Downpayment at Circulo Verde in Bagumbayan, Quezon City","Bagumbayan, Quezon City","8,499,988",2,1,47,,121.089108,14.60205872
2,"M-R-3-1412 - Acquired Property for Sale in Unit 2232-C, 22/F, Tower C, M Place at Sou...","South Triangle, Quezon City","4,035,000",,,40,,121.035979,14.637561
3,3BR w/ Balcony For Sale in Pinecrest New Manila Affordable Condos in Quezon City,"New Manila, Quezon City","13,391,312",3,1,62,,121.0443089,14.6621443
4,"Flexi Suite for Sale in SMDC Hill Residences, Novaliches, Quezon City","Novaliches, Quezon City","3,300,000",1,1,29,,121.020485,14.722929
5,"M-R-3-1258- Acquired Property for Sale in Unit K, 5/F, Madison Place Condominium, Jus...","Cubao, Quezon City","3,376,000",1,,33,,121.0572,14.61777
6,"M-C-2-18- Acquired Property for Sale in Unit 902, Penthouse Level, 100k Tower Condo, ...","East Kamias, Quezon City","4,760,000",1,,68,,121.054782,14.631811
7,"M-R-3-1352 - Acquired Property for Sale in Unit 217, 2/F, Kaji Building, The Redwoods...","Pasong Putik Proper, Quezon City","2,327,500",1,,28,,121.386902,14.2369
8,"M-R-3-1347- Acquired Property for Sale in Unit 3B9, 3/F, Tower B, Francesca Towers Co...","South Triangle, Quezon City","2,780,500",1,,41,,121.056446,14.617564
9,"M-R-3-1409 - Acquired Property for Sale in Unit 907-B, 9/F, Tower B, M Place at South...","South Triangle, Quezon City","1,565,000",,,16,,121.035979,14.637561
10,Foreclosed Property for Sale in Unit 3-3 3Rd F Spazio Bernardo (Bellagio-Cluster 2) C...,"Sauyo, Quezon City","1,677,000",,,36,,121.049276,14.695099
11,"Acquired Property for Sale in Unit 3835, 38/F, Tower 3, Grass Residences, Nueva Visca...","Santo Cristo, Quezon City","3,331,550",1,,28,,121.028493,14.659988
12,"M-R-3-1430-Acquired Property for Sale in 2839B, 28/F, Berkeley Residences Condominium...","Loyola Heights, Quezon City","3,100,800",,,25,,121.076504,14.640624
13,"M-R-3-1410 - Acquired Property for Sale in Unit 1833-B, 18/F, Tower B, M Place at Sou...","South Triangle, Quezon City","2,756,000",,,28,,121.035979,14.637561
14,"Foreclosed Property for Sale in Unit No. 1128, The Garden Heights Condominium, E. Rod...","Damayang Lagi, Quezon City","2,708,380",,,38,,121.023475,14.616088
15,"M-R-3-1402-Acquired Property for Sale inUnit 7A28, 7/F, Tower A, Victoria Towers, cor...","Pinagkaisahan, Quezon City","3,217,500",,,42,,121.04426,14.626617
16,"M-R-3-1260- Acquired Property for Sale in Unit 2229, 22/F, Princeton Residences, Auro...","New Manila, Quezon City","4,359,300",1,,40,,121.0306,14.61633
17,"M-R-3-1290- Acquired Property for Sale in Unit 1619, 16/F, Aurora Blvd., Princeton Re...","New Manila, Quezon City","2,581,700",1,,23,,121.0306,14.61633
18,"Studio Unit for Sale in Suntrust Amadea Tower 1, Quezon City, 2.96M","Paligsahan, Quezon City","2,963,760",1,1,24,,121.023475,14.631613
19,"M-R-3-1349- Acquired Property for Sale in Unit 3527, 35/F, Berkeley Residences Condom...","Loyola Heights, Quezon City","2,654,400",1,,22,,121.076504,14.640624
20,"2 bedroom Condominium for Sale in Suntrust Capitol Plaza, Diliman, Quezon City","Diliman, Quezon City","10,000,000",2,2,68,,121.050593,14.644874
21,"M-R-3-1356- Acquired Property for Sale in Unit PH-04, No. 44, J Rosa Condominium, Mat...","Teachers Village East, Quezon City","4,070,000",1,,71,,121.014874,14.622526
22,"1 Bedroom Unit For Sale in Diliman, Quezon City, Metro Manila","Diliman, Quezon City","1,500,000",1,1,36,,121.0528,14.6462
23,"M-R-3-1320- Acquired Property for Sale in Unit E4, 5/F, Building 3, Bayani St., PTS B...","Doña Imelda, Quezon City","921,600",1,,30,,121.017741,14.61693
24,Cityland 101 Xavierville - Studio Unit for Sale in Quezon City,"Loyola Heights, Quezon City","1,916,509",1,1,17,,121.076504,14.640624
25,"Suntrust Capitol Plaza - 1-Bedroom Unit for Sale in Diliman, Quezon City","Diliman, Quezon City","7,300,000",1,1,40,,121.050593,14.644874
26,"1 bedroom Condominium for Sale in Suntrust Capitol Plaza, Diliman, Quezon City","Diliman, Quezon City","6,500,000",1,1,40,,121.050593,14.644874
27,"Studio Unit for Sale in Suntrust Amadea Tower 2, Quezon City","Paligsahan, Quezon City","3,040,080",1,1,24,,121.023475,14.631613
28,"M-R-3-1407 - Acquired Property for Sale in Unit 4259, 42/F, Tower 1, Sun Residences C...","Santa Teresita, Quezon City","2,400,000",,,20,,120.99982,14.620208
29,"Acquired Property for Sale in Unit 2422-A,Tower 1, Grass Residences, Nueva Viscaya co...","Santo Cristo, Quezon City","2,650,750",1,,23,,121.028493,14.659988
30,"Acquired Property for Sale in Unit 2828-B, Tower 1, Grass Residences, Nueva Viscaya c...","Santo Cristo, Quezon City","2,482,850",1,,22,,121.028493,14.659988
31,"Suntrust Shanata, 2-Bedroom (Unit A) for Sale in Novaliches, Quezon City","Novaliches, Quezon City","6,363,100",2,1,35,,121.0198,14.68155
32,Pre-Selling 1-Bedroom Unit (36.5 sqm) in The Magnolia Residences D at New Manila,"New Manila, Quezon City","7,200,000",1,1,36,,121.039,14.61416
33,"Acquired Property for Sale in Unit 3147, 31/F, Tower 3, Grass Residences, Nueva Visca...","Santo Cristo, Quezon City","3,009,550",1,,26,,121.028493,14.659988
34,"2BR Unit for Sale in Suntrust Amadea Tower 2, Quezon City, 5.5M","Paligsahan, Quezon City","5,479,920",2,1,36,,121.023475,14.631613
35,"Pre-selling Studio Unit (30 sqm) in Aurora Escalades, Cubao Quezon City","Cubao, Quezon City","5,600,000",1,1,30,,121.0572,14.61777
36,"1 bedroom Condominium for Sale in Suntrust Capitol Plaza, Diliman, Quezon City","Diliman, Quezon City","6,000,000",1,1,40,,121.050593,14.644874
37,Pre-Selling 1BR Executive (58 sqm) in The Magnolia Residences D at New Manila QC,"New Manila, Quezon City","10,500,000",1,1,58,,121.039,14.61416
38,"Foreclosed Property for Sale in Unit 21-C 21st Floor Symphony Tower 1, Sgt. Esguerra ...","South Triangle, Quezon City","3,780,000",,,29,,121.035979,14.637561
39,"M-R-3-1408 - Acquired Property for Sale in Unit 731-D, 7/F, Tower D, M Place at South...","South Triangle, Quezon City","2,000,000",,,20,,121.035979,14.637561
