,listing,location,price,bedroom_num,bathroom_num,floor_area,land_size,longitude,latitude
0,"3 Bedroom Condominium unit for sale at Clairemont Hills, San Juan","Corazon de Jesus, San Juan","21,000,000",3,,156,,121.031436,14.6064966
1,"2-Bedroom Condo Unit for Sale at Clairemont Hills in Corazon de Jesus, San Juan City","Corazon de Jesus, San Juan","13,200,000",2,2,113,,121.032426,14.606913
2,"RFO 2BR  Unit (69.79 sqm) for Sale in Chimes Greenhills, San Juan City","Greenhills, San Juan","8,800,000",2,2,69,,121.43876,14.600676
3,"RFO Studio Unit (29.05 sqm) for Sale in Chimes Greenhills, San Juan City","Greenhills, San Juan","6,200,000",1,1,29,,121.43876,14.600676
4,"3-Bedroom Condo Unit for Sale at Clairemont Hills in Corazon de Jesus, San Juan City ...","Corazon de Jesus, San Juan","20,800,000",3,3,156,,121.032426,14.606913
5,"Viridian in Greenhills, 2-Bedroom Unit (46H) for Sale in San Juan City","Greenhills, San Juan","37,060,000",2,3,141,,121.43876,14.600676
6,"Viridian in Greenhills, 2-Bedroom Unit (51H) for Sale in San Juan City","Greenhills, San Juan","37,940,000",2,3,141,,121.43876,14.600676
7,"RFO 1BR  Unit (37 sqm) for Sale in Chimes Greenhills, San Juan City","Greenhills, San Juan","7,000,000",1,1,37,,121.43876,14.600676
8,"Viridian in Greenhills, 2-Bedroom Unit (50H) for Sale in San Juan City","Greenhills, San Juan","37,610,000",2,3,141,,121.43876,14.600676
9,"3-Bedroom Condo Unit for Sale at Clairemont Hills in Corazon de Jesus, San Juan City","Corazon de Jesus, San Juan","18,700,000",3,3,156,,121.032426,14.606913
10,"RFO 2BR  Unit (73.26 sqm) for Sale in Chimes Greenhills, San Juan City","Greenhills, San Juan","13,100,000",2,2,73,,121.43876,14.600676
11,"2 Bedroom Condominium for Sale in Clairemont Hills, San Juan City","Corazon de Jesus, San Juan",,2,3,113,,121.031436,14.6064966
12,"4BR Townhouse Unit for Sale at Clairemont Hills in Corazon de Jesus, San Juan City | ...","Corazon de Jesus, San Juan","42,000,000",4,3,430,,121.032426,14.606913
13,"4BR Townhouse Unit for Sale at Clairemont Hills in Corazon de Jesus, San Juan City | ...","Corazon de Jesus, San Juan","44,000,000",4,3,450,,121.032426,14.606913
14,"RFO Studio Unit (21.20 sqm) for Sale in Chimes Greenhills, San Juan City","Greenhills, San Juan","3,900,000",1,1,21,,121.43876,14.600676
15,"2-Bedroom Condo Unit for Sale at Clairemont Hills in Corazon de Jesus, San Juan City ...","Corazon de Jesus, San Juan","14,700,000",2,2,113,,121.032426,14.606913
16,"Viridian in Greenhills, 2-Bedroom Unit (42H) for Sale in San Juan City","Greenhills, San Juan","36,930,000",2,3,141,,121.43876,14.600676
17,"RFO 1-Bedroom Unit for Sale in Chimes Greenhills, San Juan City, 7.3M","Greenhills, San Juan","7,300,000",1,1,,,121.43876,14.600676
18,2 Bedroom Rent to Own Condo in San Juan Little Baguio Terraces 223k Dp Move in,"Little Baguio, San Juan","4,100,000",2,1,30,,121.0371886,14.6014254
