,listing,location,price,bedroom_num,bathroom_num,floor_area,land_size,longitude,latitude
0,"M-R-3-852- Acquired Property for Sale in Unit 825-A (425-A per TD), 8/F, Two Serendra...","Fort Bonifacio, Taguig","13,740,000",1,,43,,121.050318,14.540867
1,"M-R-3-1267- Acquired Property for Sale in Unit T2-1415, 14/F, Tower 2, Ridgewood Towe...","Fort Bonifacio, Taguig","2,800,000",1,,28,,121.050318,14.540867
2,"M-R-3-990- Acquired Property for Sale in Unit 1212, 12/F, Tower A, Fort Victoria Cond...","Fort Bonifacio, Taguig","6,902,000",1,,41,,121.050318,14.540867
3,"M-R-3-1386- Acquired Property for Sale in Unit 407, 4/F, Aqua Building, Verawood Resi...","Ususan, Taguig","5,895,000",,,58,,121.065172,14.531149
4,"M-R-3-1428 Acquired Property for Sale in Unit 9003, 9/F, Tower 3, Ridgewood Tower, CP...","Fort Bonifacio, Taguig","4,200,000",,,42,,121.050318,14.540867
5,"M-R-3-1354- Acquired Property for Sale in Unit 115, G/F, Victoria Building, Pacific R...","Ususan, Taguig","1,936,300",1,,22,,121.065172,14.531149
6,"M-R-3-1291- Acquired Property for Sale in Unit T2-109, Tower 2, Ridgewood Tower, C5 R...","Fort Bonifacio, Taguig","4,357,000",1,,43,,121.050318,14.540867
7,"M-R-3-1265- Acquired Property for Sale in Unit 7-O, 7/F, Tower 1, Morgan Suites Execu...","McKinley Hill, Taguig","3,910,000",1,,23,,121.0553,14.53712
8,"M-R-3-442 - Acquired Property for Sale in Unit 1513, 15/F, Altiva Building, Cypress T...","Fort Bonifacio, Taguig","4,140,000",1,,46,,121.050318,14.540867
9,"M-R-3-1396- Acquired Property for Sale in Unit 7F, 7/F, Tower B (Bellini), Venice Lux...","Fort Bonifacio, Taguig","11,952,000",,,66,,121.050318,14.540867
10,"M-R-3-1358 - Acquired Property for Sale in Unit 604, 6/F, Kamala Building, Royal Palm...","Ususan, Taguig","4,905,000",1,,54,,121.065172,14.531149
11,"M-R-3-975- Acquired Property for Sale in Unit 2305, 23/F, Tower B, Fort Victoria Cond...","Fort Bonifacio, Taguig","7,599,000",1,,45,,121.050318,14.540867
12,"M-R-3-962- Acquired Property for Sale in Unit 2001, 20/F, Tower B, Fort Victoria Cond...","Fort Bonifacio, Taguig","8,100,000",1,,45,,121.050318,14.540867
13,"M-R-3-1354- Acquired Property for Sale in Unit 115, G/F, Victoria Building, Pacific R...","Ususan, Taguig","2,311,300",1,,22,,121.065172,14.531149
14,"RFO 1BR Unit (37.15 sqm) for Sale - The Trion Towers 3, BGC Taguig","McKinley Hill, Taguig","10,000,000",1,1,37,,121.0494,14.54595
15,"M-R-3-907- Acquired Property for Sale in Unit 501, 5/F, Tower A, Fort Victoria Condom...","Fort Bonifacio, Taguig","6,988,700",1,,41,,121.050318,14.540867
16,"M-R-3-937- Acquired Property for Sale in Unit 2106, 21/F, Tower A, Fort Victoria Cond...","Fort Bonifacio, Taguig","7,848,900",1,,46,,121.050318,14.540867
17,"Foreclosed Property for Sale in Unit 107, Ground Floor Cataluna Bldg, Vista De Lago V...","Tuktukan, Taguig","4,032,000",,,64,,121.071489,14.530826
18,"M-R-3-1024- Acquired Property for Sale in Unit 1706, 17/F, Tower C, Fort Victoria Con...","Fort Bonifacio, Taguig","7,661,900",1,,45,,121.050318,14.540867
19,"M-R-3-1005- Acquired Property for Sale in Unit 2312, 23/F, Tower A, Fort Victoria Con...","Fort Bonifacio, Taguig","6,902,000",1,,41,,121.050318,14.540867
20,"2-Bedroom Unit for Sale in The Trion Towers - Tower 3, BGC Taguig, 23M","McKinley Hill, Taguig","23,000,000",2,,,,121.0494,14.54595
21,"M-R-3-1006- Acquired Property for Sale in Unit 505, 5/F, Tower C, Fort Victoria Condo...","Fort Bonifacio, Taguig","7,699,300",1,,45,,121.050318,14.540867
22,"M-R-3-1387- Acquired Property for Sale in Unit 27G, 27/F, Fort Palm Spring Condo., 1s...","Fort Bonifacio, Taguig","18,859,000",,,119,,121.050318,14.540867
23,"M-R-3-1426-Acquired Property for Sale in  Unit 405, 4/F, Ivory Building, Rosewood Poi...","Ususan, Taguig","4,845,000",,,57,,121.065172,14.531149
24,"M-R-3-1355- Acquired Property for Sale in Unit T2-1312, 13/F, Tower 2 (Tower 3 per CC...","Ususan, Taguig","4,200,000",1,,42,,121.065172,14.531149
25,"2-Bedroom Unit for Sale in The Trion Towers - Tower 3, BGC Taguig","McKinley Hill, Taguig","14,200,000",2,,,,121.0494,14.54595
26,"M-R-3-1234- Acquired Property for Sale in Unit 14, 3/F, Elizabeth Bldg., Pacific Resi...","Ususan, Taguig","4,169,250",1,,49,,121.065172,14.531149
27,"M-R-3-1185- Acquired Property for Sale in Units 2006 and 2007, 20/F, Tower B, Fort Vi...","Fort Bonifacio, Taguig","15,361,200",1,,90,,121.050318,14.540867
28,"M-R-3-909- Acquired Property for Sale in Unit 608, 6/F, Tower A, Fort Victoria Condom...","Fort Bonifacio, Taguig","7,746,900",1,,46,,121.050318,14.540867
29,"M-R-3-995- Acquired Property for Sale in Unit 1921, 19/F, Tower B, Fort Victoria Cond...","Fort Bonifacio, Taguig","8,195,400",1,,46,,121.050318,14.540867
30,"M-R-3-1185- Acquired Property for Sale in Units 2006 and 2007, 20/F, Tower B, Fort Vi...","Fort Bonifacio, Taguig","15,361,200",1,,90,,121.050318,14.540867
31,"M-R-3-909- Acquired Property for Sale in Unit 608, 6/F, Tower A, Fort Victoria Condom...","Fort Bonifacio, Taguig","7,746,900",1,,46,,121.050318,14.540867
32,"M-R-3-932- Acquired Property for Sale in Unit 1911, 19/F, Tower A, Fort Victoria Cond...","Fort Bonifacio, Taguig","7,746,900",1,,46,,121.050318,14.540867
33,"M-R-3-1350- Acquired Property for Sale in Unit 10-I, 10/F, Tower II, The Icon Residen...","Fort Bonifacio, Taguig","7,200,000",1,,36,,121.050318,14.540867
34,"M-R-3-993- Acquired Property for Sale in Unit 1903, 19/F, Tower B, Fort Victoria Cond...","Fort Bonifacio, Taguig","6,898,600",1,,41,,121.050318,14.540867
35,"For Sale: 132 sqm 2 Bedroom Pre - Selling Condo Unit in Arbor Lanes, Taguig","Western Bicutan, Taguig","31,000,000",2,2,132,,121.036376,14.517219
36,"M-R-3-945- Acquired Property for Sale in Unit 2208, 22/F, Tower A, Fort Victoria Cond...","Fort Bonifacio, Taguig","7,746,900",1,,46,,121.050318,14.540867
37,"M-R-3-1351- Acquired Property for Sale in Unit 10, 3/F, Elizabeth Tower, Pacific Resi...","Ususan, Taguig","3,467,150",1,,40,,121.065172,14.531149
38,"M-R-3-1235 - Acquired Property for Sale in Unit 1404, 4/F, Ivory Building, Rosewood P...","Ususan, Taguig","4,845,000",1,,57,,121.065172,14.531149
39,"M-R-3-1187 Acquired Property for Sale in Units 2206 and 2207, 22/F, Tower B, Fort Vic...","Fort Bonifacio, Taguig","15,361,200",1,,90,,121.050318,14.540867
40,"M-R-3-1377- Acquired Property for Sale at Unit 104, G/F, Roselle Building, Cedar Cres...","Bambang, Taguig","6,750,000",1,,67,,121.06934,14.524033
41,"M-R-3-931- Acquired Property for Sale in Unit 1909, 19/F, Tower A, Fort Victoria Cond...","Fort Bonifacio, Taguig","8,812,800",1,,49,,121.050318,14.540867
42,"M-R-3-462- Acquired Property for Sale in Unit 1024-B, 10/F, Belize Tower D, Two Seren...","Fort Bonifacio, Taguig","37,260,000",1,,127,,121.050318,14.540867
43,"M-R-3-923- Acquired Property for Sale in Unit 1712, 17/F, Tower A, Fort Victoria Cond...","Fort Bonifacio, Taguig","7,848,900",1,,46,,121.050318,14.540867
44,"M-R-3-978- Acquired Property for Sale in Unit 2404 / 24PH-04, 24/F, Tower B, Fort Vic...","Fort Bonifacio, Taguig","25,398,000",1,,141,,121.050318,14.540867
45,"RFO 1BR Unit (43.24 sqm) for Sale - The Trion Towers 3, BGC Taguig","McKinley Hill, Taguig","13,900,000",1,1,43,,121.0494,14.54595
46,"M-R-3-1022- Acquired Property for Sale in Unit 1506, 15/F, Tower C, Fort Victoria Con...","Fort Bonifacio, Taguig","7,661,900",1,,45,,121.050318,14.540867
47,"M-R-3-989- Acquired Property for Sale in Unit 915, 9/F, Tower B, Fort Victoria Condom...","Fort Bonifacio, Taguig","7,599,000",1,,45,,121.050318,14.540867
48,"M-R-3-960- Acquired Property for Sale in Unit 1906, 19/F, Tower B, Fort Victoria Cond...","Fort Bonifacio, Taguig","7,661,900",1,,45,,121.050318,14.540867
49,"M-R-3-954- Acquired Property for Sale in Unit 1621, 16/F, Tower B, Fort Victoria Cond...","Fort Bonifacio, Taguig","8,195,400",1,,46,,121.050318,14.540867
50,"M-R-3-958- Acquired Property for Sale in Unit 1806, 18/F, Tower B, Fort Victoria Cond...","Fort Bonifacio, Taguig","7,661,900",1,,45,,121.050318,14.540867
51,"M-R-3-309- Acquired Property for Sale in Unit 2C, 2/F, Tower 4, Forbeswood Heights, B...","Fort Bonifacio, Taguig","7,570,000",1,,37,,121.050318,14.540867
52,"M-R-3-940- Acquired Property for Sale in Unit 2112, 21/F, Tower A, Fort Victoria Cond...","Fort Bonifacio, Taguig","6,902,000",1,,41,,121.050318,14.540867
53,"M-R-3-1010- Acquired Property for Sale in Unit 614, 6/F, Tower B, Fort Victoria Condo...","Fort Bonifacio, Taguig","7,706,100",1,,45,,121.050318,14.540867
54,"M-R-3-1021- Acquired Property for Sale in Unit 1505, 15/F, Tower C, Fort Victoria Con...","Fort Bonifacio, Taguig","7,599,000",1,,45,,121.050318,14.540867
55,"For sale 2 Bedroom w/ 1 Pslot with a Garden Amenity View, Taguig","Western Bicutan, Taguig","34,500,000",2,2,104,,121.036376,14.517219
56,DMCI Homes Pre Selling Condo in Acacia Estates Taguig near BGC Alder Residences,"Ususan, Taguig",,2,1,67,,121.065172,14.531149
57,"Great Deal 2 Bedroom Unit in Venice Fully Furnished, Assumed Balance, Rent 2 Own","McKinley Hill, Taguig","20,000,000",2,3,102,,121.0553,14.53712
58,"For Sale 1 Bedroom Unit in Grace Residences at Ususan, Taguig -GRCEB031646","Ususan, Taguig","3,156,000",1,1,22,,121.065172,14.531149
59,"One Serendra, Taguig 2 Bedroom Condo at Palm tower for Sale","Fort Bonifacio, Taguig",,2,2,117,,121.050318,14.540867
60,"Penthouse for sale in The Suites - BGC, Fort Bonifacio, Taguig","Fort Bonifacio, Taguig","175,000,000",4,4,277,,121.050318,14.540867
61,RFO | 1-BR w/ Balcony Facing Amenity | Avida Towers One Union Place Arca South,"Western Bicutan, Taguig","8,430,000",1,1,40,,121.036376,14.517219
62,"Most Affordable 1 Bedroom Condominium Unit for sale in BGC, Taguig City","Fort Bonifacio, Taguig","11,000,000",1,1,37,,121.0528126,14.5561328
63,4 Bedroom Condo St. Moritz Penthouse with Pool For Sale at Taguig,"McKinley Hill, Taguig","70,000,000",4,,219,,121.0553,14.53712
64,1 Bedroom One Serendra East Tower For Sale Never been used Narciso Realty,"Fort Bonifacio, Taguig","24,500,000",1,1,82,,121.050318,14.540867
65,"3 Bedroom with Balcony Promo 119 sqm for sale in Park McKinley West, Taguig","Fort Bonifacio, Taguig","32,000,000",3,4,119,,121.050318,14.540867
66,"2 Bedroom Condominium for sale in Avida Towers Verte, Facing Amenities","Fort Bonifacio, Taguig","20,238,563",2,2,72,,121.050318,14.540867
67,"3 Bedroom Condominium unit for sale in Uptown Parksuite, Taguig City","Fort Bonifacio, Taguig","38,500,000",3,2,95,,121.050318,14.540867
68,"Preselling 3 Bedroom Unit w/ Balcony in Bgc, Taguig City - Uptown Arts 125.5 sqm","Fort Bonifacio, Taguig","42,641,000",3,3,125,,121.050318,14.540867
69,1 Bedroom For Sale In The Trion Towers Bonifacio Global City Taguig,"Fort Bonifacio, Taguig","9,000,000",1,1,37,,121.0494,14.54595
70,"40 sqm Studio Unit with Balcony for Sale in St. Mark Residences, Taguig City","McKinley Hill, Taguig","12,487,000",1,1,40,,121.050222,14.534346
71,"Preselling 2 Bedroom Unit w/ Balcony in Bgc, Taguig City - Uptown Arts Residence","Fort Bonifacio, Taguig","28,602,000",2,2,84,,121.050318,14.540867
72,"For Sale 2 Bedroom Condominium Unit in Acacia Estates, Taguig City","Ususan, Taguig","7,637,000",2,1,67,,121.065172,14.531149
73,3 bedroom bi-level canopy suite in arbor lanes olive for sale,"Fort Bonifacio, Taguig","62,000,000",3,5,254,,121.050318,14.540867
74,Fully Furnished Studio suite for sale 26sqm in McKinley Hill Taguig City,"McKinley Hill, Taguig","6,800,000",1,1,26,,121.04895,14.534
75,"For Sale 2 Bedroom Unit at Grand Hyatt Residences Tower 1, Taguig","Fort Bonifacio, Taguig","55,000,000",2,2,119,,121.050318,14.540867
76,DMCI HOMES: ALDER RESIDENCES 2BR  (Accessible to BGC and Makati area),"Bambang, Taguig","7,370,000",2,1,64,,121.06934,14.524033
77,"3 bedroom, Arbor Lanes in Arca South for sale","Western Bicutan, Taguig","38,000,000",3,3,172,,121.036376,14.517219
78,Condo in BGC - 1BR Condominium For Sale In Trion Towers - BGC Taguig!!,"Fort Bonifacio, Taguig","10,000,000",1,1,37,,121.0494,14.54595
79,"1-Bedroom Unit (43.18 SQM) for Sale in The Trion Towers, BGC","McKinley Hill, Taguig",,1,1,43,,121.0494,14.54595
80,"1 Bedroom with Balcony Condo Unit for Sale in St. Mark Residences, Taguig City","McKinley Hill, Taguig","20,919,000",1,1,66,,121.050222,14.534346
81,"Preselling Studio Unit w/ Balcony in Bgc, Taguig City - Uptown Arts Residence","Fort Bonifacio, Taguig","13,996,000",1,1,41,,121.050318,14.540867
82,"1 Bedroom Condominium unit for sale in Trion Towers, Taguig city","Fort Bonifacio, Taguig","11,174,010",1,1,38,,121.0632793,14.5139759
83,"Preselling Executive 1 Bedroom Unit w/ Balcony in Bgc, Taguig City - Uptown Arts","Fort Bonifacio, Taguig","22,301,000",1,2,65,,121.050318,14.540867
84,For Sale Big 1 Bedroom Unit in Taguig,"Ususan, Taguig","5,300,000",1,1,60,,121.064979,14.521587
85,"Rent to Own 1 Bedroom Unit For Sale at Trion Tower, Taguig City","Fort Bonifacio, Taguig","10,000,000",1,1,79,,121.050318,14.540867
86,1 Bedroom with Balcony Promo 48sqm For Sale,"Fort Bonifacio, Taguig","9,375,930",1,1,48,,121.04589404441,14.536170879005
87,For Sale 1 Bedroom + Parking - Avida Towers BGC 34th St.,"Fort Bonifacio, Taguig","8,500,000",1,1,36,,121.050318,14.540867
88,2 Bedroom with Balcony Promo 110 sqm for Sale,"Fort Bonifacio, Taguig","29,000,000",2,2,110,,121.050318,14.540867
89,"3 Bedroom Penthouse 212 sqm for sale at Park McKinley West, Taguig","Fort Bonifacio, Taguig","60,000,000",3,4,212,,121.050318,14.540867
90,"3BR Luxury Condo for sale in Uptown Arts Residences, Bonifacio BGC, Taguig","Fort Bonifacio, Taguig","33,102,340",3,3,125,,121.050318,14.540867
91,"One Serendra, Taguig Mahogany Tower 3BR Condo for Sale","Fort Bonifacio, Taguig",,3,3,168,,121.0499855,14.546318
