,listing,location,salary,company
0,Phone Banker/ Call Center Agent,Makati,"PHP 20,000 - PHP 25,000 a month",Eastwest Bank
1,Healthcare Customer Support Intern,Makati,"PHP 5,000 - PHP 10,000 a month",Katalyst.ph
2,TESTER,Makati,"PHP 18,000 - PHP 22,000 a month",Döhle Shipmanagement Philippines Corporation
3,Legal Officer,Makati,"PHP 50,000 - PHP 107,444 a month",LICA Group of Companies
4,Business Development Officer,Makati,"PHP 23,000 - PHP 30,500 a month",Eastwest Bank
5,Physical Fitness Advisor,Remote in Makati,"PHP 25,000 - PHP 30,500 a month",Katalyst.ph
6,Bookkeeper,Makati,"PHP 23,237 - PHP 30,000 a month",Katalyst.ph
7,Head – Business Development and Product Research,Makati,"PHP 23,000 - PHP 30,500 a month",Eastwest Bank
8,Clinical Nurse,Makati,"PHP 26,000 - PHP 30,000 a month",Katalyst.ph
9,Call Center Agent DAYSHIFT/SHIFTSYSTEM!! ONE DAY PROCESS!!,Makati,"PHP 24,000 - 25,000 a month",GDV Business Services Co.
10,Personal Assistant / Social Media Administrator.,Makati,"PHP 20,000 - 25,000 a month",C en J Recruitment Firm
11,Remote HR Staff,Remote in Makati,"PHP 18,000 - PHP 25,000 a month",Tomedes Ltd
12,Workforce Management Scheduler,Makati,"PHP 16,000 - PHP 25,000 a month",PEAK OUTSOURCING
13,Admin Assistant,Makati,"PHP 18,000 - PHP 24,000 a month",S-Ang Construction and General Trading Inc.
14,General Accountant,Makati,"PHP 10,000 - PHP 50,000 a month",Selula Hayagham Corporation
15,CUSTOMER SERVICE REPRESENTATIVE - UP TO 25K,Makati,"PHP 16,000 - PHP 25,000 a month",Orbit Teleservices
16,Inventory Staff,Makati,"PHP 16,000 - PHP 25,000 a month",International Marketing Group
17,Dining Supervisor,Makati,"PHP 12500 - PHP 24,000 a month","RESTAURANTCONCEPTS GROUP, INC."
18,Accounts Officer | AU Dayshift | Temp WFH,Remote in Makati,"PHP 35,000 - PHP 65,000 a month",EMAPTA
19,Kitchen Supervisor,Makati,"PHP 18,400 - PHP 23,000 a month","RESTAURANTCONCEPTS GROUP, INC."
20,Auditor - CPA,Makati,"PHP 20,000 - PHP 25,000 a month","OO and Associates, CPAs"
21,Barista,Makati,"PHP 17,000 - PHP 21,000 a month",Surge Fitness Gym
