Region,Division,District,BEIS School ID,School Name,Street Address,Municipality,Legislative District,Barangay,Sector,Urban/Ru,Sacl hColaosls Sifuicbactliaosnsification,Modified Curricural Offering Classification
NCR,City of San Juan,San Juan Distr,ct I136744,Pedro Cruz Elementary,114 Lope K. Santos Street Barangay Pedro San Juan City,CITY OF SAN JUAN,Lone District,PEDRO CRUZ,Public,Urban,DepED Managed,Purely ES
NCR,City of San Juan,San Juan Distr,ct I136745,Salapan ES,"11- S. Veloso St.,",CITY OF SAN JUAN,Lone District,SALAPAN,Public,Urban,DepED Managed,Purely ES
NCR,City of San Juan,San Juan Distr,ct I136746,San Juan ES,N. Domingo cor. A. Luna St.,CITY OF SAN JUAN,Lone District,BALONG-BATO,Public,Urban,DepED Managed,Purely ES
NCR,City of San Juan,San Juan Distr,ct I136747,San Perfecto ES,A. Adevoso St. Cor. San Gabriel St.,CITY OF SAN JUAN,Lone District,SAN PERFECTO,Public,Urban,DepED Managed,Purely ES
NCR,City of San Juan,San Juan Distr,ct I305423,San Juan National High School,P. Narciso,CITY OF SAN JUAN,Lone District,CORAZON DE JESUS,Public,Urban,DepED Managed,JHS with SHS
NCR,City of San Juan,San Juan Distr,ct I401649,"Punlaan School, Inc.",173 M. Paterno Street,CITY OF SAN JUAN,Lone District,PASADEÃ‘A,Private,Urban,Sectarian,JHS with SHS
NCR,City of San Juan,San Juan Distr,ct I406877,Doro Deus Integrated School,"198 N. Domingo St., San Juan City",CITY OF SAN JUAN,Lone District,CORAZON DE JESUS,Private,Urban,Sectarian,Purely SHS
NCR,City of San Juan,San Juan Distr,ct I406950,Immaculate Conception Academy,"10 Grant St.,",CITY OF SAN JUAN,Lone District,GREENHILLS,Private,Urban,Sectarian,All Offering (K to 12)
NCR,City of San Juan,San Juan Distr,ct I406952,"O.B. Montessori Center, Inc.",3 - Eisenhower,CITY OF SAN JUAN,Lone District,GREENHILLS,Private,Urban,Non-Sectarian,All Offering (K to 12)
NCR,City of San Juan,San Juan Distr,ct I406954,Xavier School,"Xavier St.,",CITY OF SAN JUAN,Lone District,GREENHILLS,Private,Urban,Sectarian,All Offering (K to 12)
NCR,City of San Juan,San Juan Distr,ct I406958,Dominican College,179 F. Blumentritt,CITY OF SAN JUAN,Lone District,TIBAGAN,Private,Urban,Sectarian,All Offering (K to 12)
NCR,City of San Juan,San Juan Distr,ct I406961,St. John The Baptist Catholic School of San Juan Inc.,26 Pinaglabanan Street,CITY OF SAN JUAN,Lone District,PEDRO CRUZ,Private,Urban,Sectarian,All Offering (K to 12)
